communication_mode,communication_with_audience,content_country,decision_method,end_date,facetoface_online_or_both,facilitated,id,issue,kind_of_influence,location,number_of_meeting_days,ongoing,original_language,participant_selection,post_date,published,specific_topic,staff_type,start_date,targeted_audience,targeted_participant_demographic,targeted_participants_public_role,total_number_of_participants,type_of_funding_entity,typical_implementing_entity,typical_sponsoring_entity,updated_date,voting,who_else_supported_the_initiative,who_was_primarily_responsible_for_organizing_the_initiative
or Deliberation,,United States,,,facetoface,Yes,1087,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),331,,No,en,Open to all,2013-06-18T15:59:14,Yes,government sponsored organization,,,General Public,General Public,Lay Public,,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),"Local Government (e.g. Village, Town, City)",,2013-11-25T02:31:34,none,,1088
or Deliberation,Public Hearings/Meetings,Australia,Opinion Survey,,both,Yes,953,Environment,"Develop individual capacities (e.g. skills, learning)",332,,Yes,en,Open to all,2013-05-17T07:59:59,Yes,,,,General Public,General Public,Lay Public,,Government-Owned Corporation,"Local Government (e.g. Village, Town, City)",,2016-05-26T19:05:13,none,,
Dialogue,Public Hearings/Meetings,United Kingdom,Voting,,facetoface,Yes,1187,Other,Community building (e.g. social capital),333,,Yes,en,Open to all,2013-07-22T17:40:47,Yes,Housing,,2010-12-31T17:00:00,General Public,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",100,,,,2013-12-09T10:31:29,preferential,,
or Deliberation,Public Hearings/Meetings,United Kingdom,,,,Yes,1188,Community Development,Direct delivery of public services (i.e. by entities other than government),334,,Yes,en,Open to all,2013-07-22T18:01:17,Yes,,,,General Public,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,"Local Government (e.g. Village, Town, City)",,,2013-11-13T22:54:46,none,,
or Deliberation,Public Report,Netherlands,,,facetoface,Yes,1094,Community Development,Consultation (i.e. to advise decision makers),335,,No,en,Random Selection,2013-06-21T01:46:50,Yes,Participatory Budgeting,Civil Servants,,"Organized Groups (e.g. NGOs, Business Associations)",People with Disabilities,Appointed Public Servants (e.g. Bureaucrats),,National Government,National Government,Non-Governmental Organization (Non-profit),2013-11-25T02:56:27,none,Association of Dutch Municipalities,1095
Discussion,,Ethiopia,Not Applicable,,,Yes,1083,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Community building (e.g. social capital),336,,Yes,en,,2013-06-18T02:18:10,Yes,government sponsored organization,,,General Public,General Public,Lay Public,,National Government,National Government,International Organization,2013-11-04T19:30:52,none,Deutsche Gesellschaft für Technische Zusammenarbeit (GTZ) GmbH,1084
Express opinions/preferences only,,Egypt,,,facetoface,Yes,1085,Economic Development,Community building (e.g. social capital),337,,No,en,Open to all,2013-06-18T02:50:37,Yes,contextual and community-based problem-solving,,,General Public,General Public,Lay Public,,National Government,National Government,,2013-11-02T00:48:05,none,Deutsche Gesellschaft für Technische Zusammenarbeit (GTZ) GmbH ,1086
Dialogue,Public Report,Brazil,Voting,,both,Yes,964,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Consultation (i.e. to advise decision makers),338,,Yes,en,Open to all,2013-05-21T19:10:03,Yes,Legislation Crowdsourcing,,,"Organized Groups (e.g. NGOs, Business Associations)",General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",,National Government,National Government,,2016-02-19T16:30:58,none,,1018
Listen/watch as spectator,"New Media (i.e. internet, texting, etc)",Italy,Not Applicable,,online,No,1045,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Raise public awareness,339,,Yes,en,Open to all,2013-06-05T13:27:34,Yes,Civic Education,Self-employed,,Elected Public Official,General Public,Lay Public,10000,For Profit Business,Non-Governmental Organization (Non-profit),,2016-02-16T16:44:59,none,,1252
Discussion,,United Kingdom,Voting,,facetoface,Yes,1196,Community Development,Co-governance (i.e. to share decision making with public authorities),340,,,en,,2013-07-23T20:15:55,Yes,,,,,General Public,,,,,,2013-11-13T21:51:26,none,,
or Deliberation,,United Kingdom,Voting,,facetoface,Yes,1190,Health,Make public decisions (i.e. exert direct authority),341,,No,en,Open to all with targeted recruitment,2013-07-23T07:39:13,Yes,,,,,Eldlerly,,,"Regional Government (e.g. State, Provincial, Territorial)","Local Government (e.g. Village, Town, City)",,2013-11-13T12:49:15,preferential,,
Dialogue,,United Kingdom,Voting,,facetoface,Yes,1191,Budgeting,Make public decisions (i.e. exert direct authority),342,,No,en,,2013-07-23T08:08:28,Yes,,,,,Youth,,,Government-Owned Corporation,,,2013-11-13T13:05:49,preferential,,
Discussion,Public Report,Australia,Not Applicable,,both,Yes,1143,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),343,2,No,en,Random Selection,2013-07-03T01:35:37,Yes,random sample recruitment,,,General Public,General Public,Elected Public Official,3500,"Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)",,2013-11-25T06:53:38,none,,1144
No interaction among participants,"Traditional Media (i.e. television, radio, newspapers)",India,Not Applicable,,,Yes,1130,Community Development,Consultation (i.e. to advise decision makers),344,,No,en,,2013-06-28T02:48:09,Yes,strengthening human rights,,,General Public,General Public,Lay Public,,National Government,National Government,,2013-11-25T15:41:36,none,,1131
Listen/watch as spectator,Public Hearings/Meetings,Mongolia,Not Applicable,,facetoface,No,1122,&amp; Corrections,Consultation (i.e. to advise decision makers),345,,Yes,de,Open to all,2013-06-26T20:13:31,Yes,restructuring civil society,Legislators and drafters,2009-08-31T16:00:00,Elected Public Official,General Public,Elected Public Official,,National Government,National Government,National Government,2016-05-27T21:33:37,none,,1151
Listen/watch as spectator,Public Report,United States,Opinion Survey,2011-06-26T17:00:00,facetoface,Yes,1255,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Raise public awareness,346,3,No,de,Random Selection,2013-08-20T16:22:06,Yes,statewide initiative process; legislative representation; local government; tax and fiscal policy,,2011-06-24T09:00:00,Elected Public Official,General Public,Lay Public,412,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),Academic Institution,Academic Institution,2016-04-20T15:34:42,none,California Forward; New America Foundation in California; Public Policy Institute of California; Nicolas Berggruen Institute; California Common Cause; Bill Lane Center for the American West at Stanford University; Davenport Institute at Pepperdine Univeri,437
Discussion,Public Hearings/Meetings,Canada,,,facetoface,Yes,1120,"Planning (e.g. Urban planning, Transportation, etc.)",Co-governance (i.e. to share decision making with public authorities),347,,Yes,en,Open to all,2013-06-26T16:59:57,Yes,Participatory Budgeting,,,General Public,Low-Income Earners,Lay Public,6000,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",,2016-08-22T16:27:40,none,,1145
Express opinions/preferences only,"Traditional Media (i.e. television, radio, newspapers)",United States,Opinion Survey,,both,Yes,1128,Identity &amp; Diversity,Raise public awareness,348,,Yes,en,Open to all with targeted recruitment,2013-06-28T02:24:14,Yes,minorities,,,General Public,Racial/Ethnic Group(s),Lay Public,,"Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)",,2013-11-02T00:33:50,none,,1129
Dialogue,Public Hearings/Meetings,Argentina,Voting,,facetoface,Yes,1115,Budgeting,"Develop individual capacities (e.g. skills, learning)",349,,,en,Open to all with targeted recruitment,2013-06-25T17:25:03,Yes,Participatory Budgeting,,,General Public,Women,Lay Public,61140,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",,2016-08-22T16:24:13,none,,1133
or Deliberation,Policy Recommendations,Latvia,,,both,Yes,1170,Community Development,Community building (e.g. social capital),350,,No,en,Open to all,2013-07-16T15:51:20,Yes,government sponsored organization,,,Elected Public Official,Youth,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",3050,National Government,National Government,"Local Government (e.g. Village, Town, City)",2016-08-22T16:19:03,none,,1171
or Deliberation,"Traditional Media (i.e. television, radio, newspapers)",Moldova,Not Applicable,,facetoface,Yes,1172,Health,Consultation (i.e. to advise decision makers),351,,Yes,en,Open to all with targeted recruitment,2013-07-16T16:12:28,Yes,networking between communities,Volunteers,,General Public,General Public,Lay Public,17000,National Government,Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),2013-11-25T06:38:40,none,ADEVARUL (Truth),1173
Dialogue,"New Media (i.e. internet, texting, etc)",Germany,Not Applicable,,online,No,1174,Immigration,Raise public awareness,352,,No,en,Open to all,2013-07-16T18:26:08,Yes,European Union,,,General Public,General Public,Lay Public,,International Organization,Non-Governmental Organization (Non-profit),,2013-11-25T15:41:00,none,,1180
,,United Kingdom,,,,No,1209,,,353,,No,en,,2013-07-26T18:02:19,Yes,,,,,,,,,,,2013-11-13T22:20:06,none,,
Negotiate &amp; Bargain,,United Kingdom,Voting,2011-12-30T16:00:00,facetoface,Yes,1208,,Co-governance (i.e. to share decision making with public authorities),354,,No,en,,2013-07-26T17:50:40,Yes,,,2011-08-31T16:00:00,,General Public,,,"Local Government (e.g. Village, Town, City)",,,2013-11-13T13:07:55,preferential,,
,,United Kingdom,,,,No,1210,,,355,,No,en,,2013-07-26T18:05:42,Yes,,,,,,,,,,,2013-11-13T22:50:17,none,,
,,United Kingdom,,,,No,1211,,,356,,No,en,,2013-07-26T18:13:12,Yes,,,,,,,,,,,2013-11-13T22:01:17,none,,
,,United Kingdom,,,,No,1212,,,357,,No,en,,2013-07-26T18:17:10,Yes,,,,,,,,,,,2013-11-13T23:00:36,none,,
,,United Kingdom,,,,No,1213,,,358,,No,en,,2013-07-26T18:27:48,Yes,,,,,,,,,,,2013-12-10T18:07:41,none,,
,,United Kingdom,,,,No,1214,,,359,,No,en,,2013-07-26T18:48:42,Yes,,,,,,,,,,,2013-11-07T18:26:49,none,,
,,United Kingdom,,,,No,1215,,,360,,No,en,,2013-07-26T19:43:19,Yes,,,,,,,,,,,2013-11-13T22:46:08,none,,
,,United Kingdom,,,,No,1216,,,361,,No,en,,2013-07-26T19:48:21,Yes,,,,,,,,,,,2013-11-13T12:57:06,none,,
,,United Kingdom,,,,No,1217,,,362,,No,en,,2013-07-26T19:52:34,Yes,,,,,,,,,,,2013-11-13T21:44:44,none,,
,,United Kingdom,,,,No,1218,,,363,,No,en,,2013-07-26T19:56:24,Yes,,,,,,,,,,,2016-05-25T22:37:35,none,,
Negotiate &amp; Bargain,,United Kingdom,Voting,2010-12-31T17:00:00,facetoface,Yes,1219,Community Development,Co-governance (i.e. to share decision making with public authorities),364,,No,en,Open to all,2013-07-26T20:07:25,Yes,,,2008-12-31T17:00:00,General Public,General Public,,2000,"Local Government (e.g. Village, Town, City)",,,2015-05-30T22:16:36,preferential,,
,,United Kingdom,,,,No,1220,,,365,,No,en,,2013-07-26T20:11:49,Yes,,,,,,,,,,,2013-11-13T12:22:57,none,,
,,United Kingdom,,,,No,1221,,,366,,No,en,,2013-07-26T20:17:28,Yes,,,,,,,,,,,2013-11-13T21:17:52,none,,
,,United Kingdom,Voting,2009-12-31T17:00:00,facetoface,Yes,1222,Economic Development,Co-governance (i.e. to share decision making with public authorities),367,,No,en,,2013-07-26T20:21:01,Yes,,,2007-12-31T17:00:00,"Organized Groups (e.g. NGOs, Business Associations)",General Public,,,"Local Government (e.g. Village, Town, City)",,,2013-11-13T20:56:32,preferential,,
,,United Kingdom,,,,No,1223,Economic Development,Make public decisions (i.e. exert direct authority),368,,No,en,,2013-07-26T20:24:18,Yes,,,,,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)",,,2016-05-25T22:35:52,none,,
Negotiate &amp; Bargain,,United Kingdom,Voting,,facetoface,Yes,1224,Community Development,Make public decisions (i.e. exert direct authority),369,,No,en,Open to all,2013-07-26T20:27:24,Yes,,,,,General Public,Lay Public,100,,,,2013-11-13T23:10:23,preferential,,
Express opinions/preferences only,,United Kingdom,Voting,,both,Yes,1225,Community Development,Make public decisions (i.e. exert direct authority),370,,,en,,2013-07-26T20:31:29,Yes,,,,,General Public,,,,,,2013-11-13T12:28:49,preferential,,
or Deliberation,,United Kingdom,Voting,,facetoface,No,1226,Community Development,Co-governance (i.e. to share decision making with public authorities),371,1,No,en,Other,2013-07-26T20:33:33,Yes,,,,,,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,"Local Government (e.g. Village, Town, City)",,,2013-11-13T21:28:29,preferential,,
Dialogue,,United Kingdom,Voting,,facetoface,Yes,1227,Poverty Reduction,Make public decisions (i.e. exert direct authority),372,,No,en,Open to all,2013-07-26T20:36:07,Yes,,,,,Racial/Ethnic Group(s),,200,"Local Government (e.g. Village, Town, City)",,,2013-11-13T21:10:46,preferential,,
,,United Kingdom,,,,No,1228,Budgeting,Co-governance (i.e. to share decision making with public authorities),373,,Yes,en,,2013-07-26T20:38:22,Yes,,,,,General Public,,,"Local Government (e.g. Village, Town, City)",,,2013-11-13T21:59:22,none,,
or Deliberation,Public Report,United Kingdom,Voting,,facetoface,Yes,1229,Economic Development,Co-governance (i.e. to share decision making with public authorities),374,,No,en,Open to all with targeted recruitment,2013-07-26T20:41:14,Yes,,,,Elected Public Official,General Public,Appointed Public Servants (e.g. Bureaucrats),,"Local Government (e.g. Village, Town, City)",,,2013-11-13T20:53:44,none,,
or Deliberation,"New Media (i.e. internet, texting, etc)",South Korea,Getting sense of room/group (i.e. no formal voting),,online,Yes,1233,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Community building (e.g. social capital),375,,Yes,en,Open to all,2013-07-29T20:31:03,Yes,online consultation,,,General Public,General Public,Lay Public,3000000,National Government,National Government,National Government,2013-11-25T02:34:50,none,Ministry of Public Administration and Security,1234
Dialogue,Policy Recommendations,South Korea,,,both,Yes,1236,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),376,,No,en,Open to all,2013-07-29T20:56:04,Yes,environmental justice,,,Elected Public Official,Youth,Lay Public,700,International Organization,Non-Governmental Organization (Non-profit),,2014-01-05T22:40:51,none,,1237
